tweet_id,created_at,text,retweet_count,quote_count,reply_count,favorite_count
1421713684791955460,Sun Aug 01 06:05:31 +0000 2021,"https://t.co/DB8QOR5vBd
ECZ says Investigations in Kanyama violence  is underway and there will be consequences https://t.co/kV6bhFD0PM",1,2,1,14
1421711016732266504,Sun Aug 01 05:54:55 +0000 2021,"https://t.co/nrJuxItvkr
Chief Simamba castigates people who took part in the privatization exercise in the late 90s. https://t.co/O9bvODNpwj",2,1,4,7
1421707047737991169,Sun Aug 01 05:39:08 +0000 2021,"https://t.co/CJxF04D6jU
I Survived the Corona Virus in Zambia, I have lived with the Survivor’s Guilt https://t.co/Xb2rZ6Z2dr",1,0,0,4
1421704125067235329,Sun Aug 01 05:27:32 +0000 2021,"https://t.co/EwsIfq7fUR
Zambia commits to supporting the national education sector https://t.co/C8qQhTddIc",0,0,2,6
1421702425434537984,Sun Aug 01 05:20:46 +0000 2021,"https://t.co/r6XV81L8OG
The Verification Process of Ballot Papers for the August 12, 2021 General Elections is now… https://t.co/0uzRgqKe8B",1,0,0,8
1421502026459099146,Sat Jul 31 16:04:27 +0000 2021,"https://t.co/9m7l6ssdzz
Fashion Makes Winning League Start at Glasgow Rangers",0,0,0,1
1421501943025999880,Sat Jul 31 16:04:08 +0000 2021,"https://t.co/F46bbXRpyV
ECZ should  disqualify UPND Parliamentary Candidate for Kanyama Constituency for perpetrati… https://t.co/dXUfeBJyEM",1,2,9,5
1421499734385123332,Sat Jul 31 15:55:21 +0000 2021,"https://t.co/Ti4bQ5B6XH
PF must stop abusing the Inspector General of Police-UPND https://t.co/0E7fzkDyHZ",2,0,0,3
1421499262324641799,Sat Jul 31 15:53:28 +0000 2021,"https://t.co/7nt5gMxSSq
Disaster Management and Mitigation Unit incurring huge costs in  transporting Stranded cadr… https://t.co/EYH1gcU2mG",3,1,3,3
1421490568459337730,Sat Jul 31 15:18:56 +0000 2021,"https://t.co/avcHkxWwDV
Police  night raid nets 43 party cadres and recover  machetes,  knives, as well as some var… https://t.co/48jDWcyX0r",3,0,0,4
1421487959468093443,Sat Jul 31 15:08:34 +0000 2021,"https://t.co/qQVTWpk0Vk
Pay us our Benefits, Post  Newspapers Ex workers Cry Out to President Lungu https://t.co/cnLr8h0gx3",1,0,0,3
1421382385178972160,Sat Jul 31 08:09:03 +0000 2021,"https://t.co/h5UWgMOBvs
Theresa Ng'ambi' unveils 'Bvulani' music video https://t.co/eySmYgzAqK",0,0,0,1
1421352318163996675,Sat Jul 31 06:09:34 +0000 2021,"https://t.co/S37sqYPgNk
Veep urges civil servants to come up with district development ideas https://t.co/aVav1Y6EGr",0,1,2,4
1421351394297139202,Sat Jul 31 06:05:54 +0000 2021,"https://t.co/CKvnU0zrwy
Book Aid UK donates STEM books to Zambia Library Service https://t.co/JQ8TgacmoL",2,0,0,5
1421346223026487296,Sat Jul 31 05:45:21 +0000 2021,"https://t.co/StHxKf6nm4
Stakeholders Raise Suspicion after Private Cargo was found on the ECZ  Chartered Plane for… https://t.co/S6szca41B6",12,11,12,69
1421342635139162116,Sat Jul 31 05:31:06 +0000 2021,"https://t.co/HuETas70Tu
The Abuse of Social Media will not be tolerated by Government - Amos Malupenga https://t.co/Mx2ySNIXCO",2,2,13,6
1421338868025073669,Sat Jul 31 05:16:07 +0000 2021,"https://t.co/fWG81MFgg7
What if No Winner? A Billion Dollar Question Giving HH and Lungu Sleepless Nights https://t.co/w8OgWUCWVm",2,1,4,5
1421150762994962433,Fri Jul 30 16:48:40 +0000 2021,"https://t.co/O6jMYWgoMk
Zambia denies owning intercepted  Cargo vessels  in the Mediterranean Sea suspected of carr… https://t.co/mqfznP6zef",3,2,3,8
1421150604064444416,Fri Jul 30 16:48:02 +0000 2021,"https://t.co/KOzUmIUaxK
ECZ extends election observer, monitor accreditation process https://t.co/95vVNvhXQ3",1,0,1,4
1421149617236942856,Fri Jul 30 16:44:07 +0000 2021,"https://t.co/5GRSlBhfb4
I’ll lobby for development in Luano even after I’ve left office-Wina https://t.co/zAOZxheKLu",0,1,4,3
1421146003466555396,Fri Jul 30 16:29:45 +0000 2021,"https://t.co/rlBxPsNvmF
Brazilian organisation ready to grow agriculture in Zambia https://t.co/ZxTmtSiJZH",0,1,1,5
1421144432162787334,Fri Jul 30 16:23:30 +0000 2021,"https://t.co/wOpAeh4s7x
Government contemplating employing more extension officers https://t.co/RrgGbtZoux",0,0,1,1
1421135206086549516,Fri Jul 30 15:46:51 +0000 2021,"https://t.co/1WDfXN2sag
President Lungu commends defence force for maintaining peace, security https://t.co/HFPX3l7mE1",1,1,0,0
1421085130479833088,Fri Jul 30 12:27:52 +0000 2021,"https://t.co/W644ef8dGD
National Union of Private and Public Educators slams debt swap critics https://t.co/NumF3BHRI7",1,0,0,2
1421084693739540489,Fri Jul 30 12:26:08 +0000 2021,"https://t.co/Lja7Smuy3d
COMESA to deploy election observers to Zambia’s 10 provinces https://t.co/NzemEP0Y74",1,0,0,2
1421073904529985536,Fri Jul 30 11:43:15 +0000 2021,"https://t.co/LvMigANBGB
Shepolopolo Returns From Olympics",0,0,2,6
1421037583073746946,Fri Jul 30 09:18:56 +0000 2021,"https://t.co/3E0qXXUeRk
Police in Chipata try to block UPND campaigns-HH detained for over 2 hours at  the airport https://t.co/WysBlZXObD",2,0,1,11
1420992470662455308,Fri Jul 30 06:19:40 +0000 2021,"https://t.co/IVHmO7OBev
Jay Rox teams up with T Bwoy on 'Ona Manje' https://t.co/UqCz8HUKaJ",1,0,1,11
1420991078363238401,Fri Jul 30 06:14:08 +0000 2021,"https://t.co/hASHM6xg0Z
The country must remain peaceful, elections are just one day,  thereafter, we remain Zambia… https://t.co/wLxl1BkBm7",1,0,0,9
1420987579206410246,Fri Jul 30 06:00:14 +0000 2021,"https://t.co/dKg3rPo5g2
Hakainde Hichilema is not fit to be President , he is unpatriotic-Canisius Banda https://t.co/yxtR921T47",0,1,19,6
1420986023438438400,Fri Jul 30 05:54:03 +0000 2021,"https://t.co/m3zwNQqjZ7
Come out and openly declare your support for the opposition UPND, Fr. Emmanuel Chikoya Chal… https://t.co/yzk8GNoXOa",1,0,0,2
